daymonth,weather,max_temp (Celsius),min_temp (Celsius),wind (km/h),rain (mm),humidity (percentage),cloud (percentage),pressure (millibar),year,avg_temp (Celsius)
30-Jun,Patchy,13,9,8,4.8,71,77,1020,2010,11
1-Jul,partly cloud,20,9,9,1.4,57,38,1017,2011,14.5
2-Jul,Sunny,14,5,7,0.4,69,18,1020,2012,9.5
3-Jul,Thundery outbreaks possible,12,8,15,35.3,91,82,1014,2013,10
4-Jul,Sunny,16,7,8,1,72,19,1020,2009,11.5
5-Jul,partly cloud,16,10,4,2.3,81,56,1020,2010,13
6-Jul,Light,19,10,12,4.6,73,66,1013,2011,14.5
7-Jul,Sunny,21,8,8,0.7,49,15,1017,2009,14.5
8-Jul,Sunny,21,6,8,0,35,21,1019,2010,13.5
9-Jul,partly cloudy,18,11,12,2.7,64,47,1019,2011,14.5
10-Jul,Patchy light rain,9,7,10,11.6,80,71,1018,2012,8
11-Jul,Light rain shower,14,9,18,16.7,85,70,1015,2013,11.5
12-Jul,Overcast,12,8,8,7.2,81,64,1016,2009,10
13-Jul,Patchy light drizzle,13,9,8,4.8,71,77,1020,2010,11
14-Jul,partly cloudy,20,9,9,1.4,57,38,1017,2011,14.5
15-Jul,Sunny,14,5,7,0.4,69,18,1020,2012,9.5
16-Jul,Sunny,14,5,7,0.4,69,18,1020,2012,9.5
17-Jul,Thundery outbreaks possible,12,8,15,35.3,91,82,1014,2013,10
18-Jul,Sunny,16,7,8,1,72,19,1020,2009,11.5
19-Jul,Sunny,16,7,8,1,72,19,1020,2009,11.5
20-Jul,partly cloud,16,10,4,2.3,81,56,1020,2010,13
21-Jul,Light rain shower,19,10,12,4.6,73,66,1013,2011,14.5
22-Jul,Sunny,16,5,11,0,45,1,1020,2012,10.5
23-Jul,Sunny,16,5,11,0,45,1,1020,2012,10.5
24-Jul,Sunny,15,7,10,0.8,71,15,1023,2013,11
25-Jul,Sunny,16,7,8,1,72,19,1020,2009,11.5
26-Jul,partly cloud,16,10,4,2.3,81,56,1020,2010,13
27-Jul,Light rain shower,19,10,12,4.6,73,66,1013,2011,14.5
28-Jul,Sunny,16,5,11,0,45,1,1020,2012,10.5
29-Jul,Sunny,16,5,11,0,45,1,1020,2012,10.5
30-Jul,Sunny,15,7,10,0.8,71,15,1023,2013,11
31-Jul,Sunny,19,5,6,0,54,15,1020,2009,12
1-Aug,Moderate or heavy rain shower,14,10,10,3.4,88,69,1018,2010,12
2-Aug,Moderate or heavy rain shower,11,6,7,30.1,93,62,1009,2011,8.5
3-Aug,Sunny,15,3,11,0,34,0,1017,2012,9
4-Aug,Sunny,15,3,11,0,34,0,1017,2012,9
5-Aug,Sunny,17,6,7,0,50,0,1019,2013,11.5
6-Aug,Sunny,21,6,9,0,43,7,1019,2009,13.5
7-Aug,Moderate or heavy rain shower,11,11,28,17.7,94,98,1008,2010,11
8-Aug,Sunny,17,5,8,0,69,2,1015,2011,11
9-Aug,Sunny,14,3,9,0,32,0,1016,2012,8.5
10-Aug,Sunny,14,3,9,0,32,0,1016,2012,8.5
11-Aug,Sunny,19,7,8,0,40,3,1018,2013,13
12-Aug,Patchy rain possible,12,5,8,9.9,81,32,1008,2010,8.5
13-Aug,Cloudy,19,5,9,0,47,31,1015,2011,12
14-Aug,Sunny,15,4,9,0,34,4,1019,2012,9.5
15-Aug,Sunny,15,4,9,0,34,4,1019,2012,9.5
16-Aug,Sunny,20,8,8,0,37,1,1017,2013,14
17-Aug,partly cloud,17,10,7,0,47,40,1018,2009,13.5
18-Aug,Cloudy,19,5,9,0,47,31,,2011,12
19-Aug,Sunny,15,4,9,0,34,4,1019,2012,9.5
20-Aug,Sunny,20,8,8,0,37,1,1017,2013,14
21-Aug,partly cloud,12,8,5,4.7,81,45,1015,2009,10
22-Aug,Sunny,15,3,6,0,66,10,1020,2010,9
23-Aug,partly cloud,18,5,9,0,50,38,1016,2011,11.5
24-Aug,Sunny,17,4,9,0,32,1,1018,2012,10.5
25-Aug,Sunny,17,4,9,0,32,1,1018,2012,10.5
26-Aug,Sunny,20,8,11,0,29,1,1019,2013,14
27-Aug,Sunny,18,8,4,0.2,75,30,1016,2009,13
28-Aug,partly cloud,15,5,6,0,62,40,1021,2010,10
29-Aug,partly cloud,15,7,9,0.1,50,47,1019,2011,11
30-Aug,Sunny,18,6,10,0.5,39,34,1018,2012,12
31-Aug,Sunny,18,6,10,0.5,39,34,1018,2012,12
1-Sep,Overcast,20,7,11,0,31,61,1019,2013,13.5
2-Sep,partly cloud,18,11,5,2.5,79,59,1017,2009,14.5
3-Sep,Sunny,18,7,7,0,61,34,1020,2010,12.5
4-Sep,Patchy light rain,15,9,10,2.9,75,55,1017,2011,12
5-Sep,Patchy light drizzle,13,8,6,7.8,70,67,1017,2012,10.5
6-Sep,Patchy light drizzle,13,8,6,7.8,70,67,1017,2012,10.5
7-Sep,partly cloudy,21,9,9,0,26,21,1019,2013,15
8-Sep,Patchy light drizzle,16,10,6,6.6,79,58,1012,2009,13
