daymonth,weather,max_temp (Celsius),min_temp (Celsius),wind (km/h),rain (mm),humidity (percentage),cloud (percentage),pressure (millibar),year,avg_temp (Celsius)
14-Feb,Sunny,30,13,8,0,21,15,1016,2009,21.5
15-Feb,Sunny,30,14,10,0,36,6,1011,2010,22
16-Feb,Sunny,21,9,9,0,42,7,1018,2012,15
17-Feb,Sunny,21,9,9,0,42,7,1018,2012,15
18-Feb,Thundery outbreaks possible,19,13,7,9.9,70,40,1016,2013,16
19-Feb,Sunny,30,13,8,0,24,6,1013,2009,21.5
20-Feb,Sunny,31,14,9,0,31,5,1011,2010,22.5
21-Feb,partly cloudy,32,14,10,0,33,28,1014,2011,23
22-Feb,Sunny,24,10,9,0,33,15,1016,2012,17
23-Feb,Sunny,24,10,9,0,33,15,1016,2012,17
24-Feb,Sunny,23,11,8,0,45,5,1019,2013,17
25-Feb,Sunny,29,15,8,0,28,16,1012,2009,22
26-Feb,Sunny,33,15,9,0,31,1,1014,2010,24
27-Feb,Sunny,32,15,9,0,27,29,1012,2011,23.5
28-Feb,Sunny,25,14,8,0.1,35,24,1014,2012,19.5
29-Feb,Sunny,25,14,8,0.1,35,24,1014,2012,19.5
1-Mar,Sunny,25,12,10,0,34,7,1018,2013,18.5
2-Mar,Sunny,29,15,8,0.8,39,15,1013,2009,22
3-Mar,Sunny,32,16,8,0,29,1,1018,2010,24
4-Mar,Sunny,31,16,9,0.3,35,28,1009,2011,23.5
5-Mar,Sunny,26,13,9,0.1,40,17,1013,2012,19.5
6-Mar,Sunny,26,13,9,0.1,40,17,1013,2012,19.5
7-Mar,Sunny,23,13,10,0.2,36,13,1019,2013,18
8-Mar,Thundery outbreaks possible,24,14,7,0.4,48,27,1014,2009,19
9-Mar,Sunny,33,16,9,0,30,6,1019,2010,24.5
10-Mar,Patchy rain possible,29,13,10,6.9,60,20,1007,2011,21
11-Mar,Sunny,29,15,10,0,33,11,1014,2012,22
12-Mar,Sunny,29,15,10,0,33,11,1014,2012,22
13-Mar,Sunny,25,13,10,0.1,37,20,1013,2013,19
14-Mar,Sunny,28,14,7,0.1,43,20,1011,2009,21
15-Mar,Sunny,34,16,8,0,29,1,1014,2010,25
16-Mar,Moderate or heavy rain shower,21,12,8,16.4,80,21,1001,2011,16.5
17-Mar,Sunny,28,14,9,0,35,9,1010,2013,21
18-Mar,Patchy rain possible,21,12,8,3.7,61,28,1011,2009,16.5
19-Mar,Sunny,35,17,8,0,30,12,1012,2010,26
20-Mar,Sunny,25,10,8,0.4,54,2,1007,2011,17.5
21-Mar,Sunny,25,10,8,0.4,54,2,1007,2011,17.5
22-Mar,partly cloudy,25,16,9,0.8,42,42,1014,2013,20.5
23-Mar,Sunny,25,10,8,0,47,8,1014,2009,17.5
24-Mar,Sunny,34,20,10,0,29,21,1010,2010,27
25-Mar,Sunny,26,10,10,0,45,1,1011,2011,18
26-Mar,Sunny,22,8,9,0,40,0,1015,2012,15
27-Mar,Sunny,22,8,9,0,40,0,1015,2012,15
28-Mar,Sunny,27,14,12,0.1,43,14,1013,2013,20.5
29-Mar,Sunny,27,12,9,0,31,5,1014,2009,19.5
30-Mar,Sunny,34,19,10,0,32,11,1005,2010,26.5
31-Mar,Sunny,28,11,9,0,40,10,1012,2011,19.5
1-Apr,Sunny,25,11,10,0,30,3,1015,2012,18
2-Apr,Sunny,25,11,10,0,30,3,1015,2012,18
3-Apr,Sunny,28,14,9,0,33,26,1008,2013,21
4-Apr,Sunny,28,13,10,0,32,25,1015,2009,20.5
5-Apr,Sunny,34,20,9,0,29,4,1004,2010,27
6-Apr,Sunny,30,12,10,0,38,7,1013,2011,21
7-Apr,Sunny,27,12,9,0,23,16,1016,2012,19.5
8-Apr,Sunny,27,12,9,0,23,16,1016,2012,19.5
9-Apr,partly cloudy,24,14,9,16.7,46,49,1011,2013,19
10-Apr,partly cloudy,22,13,10,6,66,66,1016,2009,17.5
11-Apr,Sunny,34,17,9,0,26,6,1007,2010,25.5
12-Apr,Sunny,30,13,8,0,34,5,1013,2011,21.5
13-Apr,Sunny,28,13,12,0,28,11,1016,2012,20.5
14-Apr,Sunny,28,13,12,0,28,11,1016,2012,20.5
15-Apr,Light rain shower,19,12,14,7.2,70,40,1016,2013,15.5
16-Apr,Sunny,24,11,5,1.5,68,35,1013,2009,17.5
17-Apr,Cloudy,34,17,9,0,25,53,1008,2010,25.5
18-Apr,Sunny,31,14,9,0,34,3,1013,2011,22.5
19-Apr,partly cloudy,27,17,9,0.3,34,45,1016,2012,22
20-Apr,partly cloudy,27,17,9,0.3,34,45,1016,2012,22
21-Apr,Sunny,24,11,11,0,47,2,1014,2013,17.5
22-Apr,Sunny,26,12,9,0,51,10,1012,2009,19
23-Apr,Sunny,33,19,13,0.1,26,5,1009,2010,26
24-Apr,Sunny,31,14,9,1.8,48,8,1012,2011,22.5
25-Apr,Sunny,24,14,8,2.6,48,17,1016,2012,19
26-Apr,Sunny,24,14,8,2.6,48,17,1016,2012,19
27-Apr,Sunny,26,13,7,0,36,31,1010,2013,19.5
28-Apr,partly cloudy,25,14,8,0.5,53,26,1011,2009,19.5
29-Apr,Sunny,33,17,13,0.1,30,4,1011,2010,25
30-Apr,Sunny,28,14,11,2.5,49,17,1012,2011,21
1-May,partly cloudy,26,14,10,0,33,32,1017,2012,20
2-May,partly cloudy,26,14,10,0,33,32,1017,2012,20
3-May,Sunny,28,15,9,0,28,15,1010,2013,21.5
4-May,partly cloudy,23,12,7,0.7,68,34,1015,2009,17.5
5-May,Sunny,33,18,11,0,28,12,1010,2010,25.5
6-May,Light rain shower,23,13,14,8.5,74,30,1011,2011,18
7-May,Sunny,27,14,10,0,36,10,1018,2012,20.5
8-May,Sunny,27,14,10,0,36,10,1018,2012,20.5
9-May,Sunny,27,15,13,0,33,9,1012,2013,21
10-May,Thundery outbreaks possible,23,13,7,3.4,73,44,1012,2009,18
11-May,Sunny,33,20,11,0.3,35,16,1009,2010,26.5
12-May,Sunny,25,11,10,1.2,62,12,1012,2011,18
13-May,Sunny,29,15,11,0,34,14,1014,2012,22
14-May,Sunny,29,15,11,0,34,14,1014,2012,22
15-May,Sunny,27,15,7,0,37,12,1012,2013,21
16-May,Sunny,26,12,9,0,54,7,1013,2009,19
17-May,Sunny,31,17,11,0.1,35,5,1007,2010,24
18-May,Sunny,25,12,8,0.4,50,9,1014,2011,18.5
19-May,Sunny,32,17,9,0,27,8,1009,2012,24.5
20-May,Sunny,32,17,9,0,27,8,1009,2012,24.5
21-May,Sunny,28,15,9,0,39,7,1009,2013,21.5
22-May,Sunny,28,13,7,0,34,14,1010,2009,20.5
23-May,Sunny,31,16,10,0,22,8,1008,2010,23.5
24-May,Sunny,24,12,10,4.1,54,16,1012,2011,18
25-May,Sunny,30,20,12,0.6,27,18,1015,2012,25
26-May,Sunny,30,20,12,0.6,27,18,1015,2012,25
27-May,Sunny,28,17,11,3.4,42,12,1011,2013,22.5
28-May,Sunny,29,16,10,0.5,46,24,1010,2009,22.5
29-May,Sunny,31,17,10,0.3,28,12,1009,2010,24
30-May,Sunny,24,11,10,5,61,22,1014,2011,17.5
31-May,Sunny,31,19,10,1.4,39,11,1014,2012,25
1-Jun,Sunny,31,19,10,1.4,39,11,1014,2012,25
2-Jun,partly cloudy,27,15,12,4,45,33,1014,2013,21
3-Jun,Sunny,27,15,7,0.2,53,18,1012,2009,21
4-Jun,Sunny,30,15,9,0.5,36,19,1013,2010,22.5
5-Jun,Sunny,24,10,8,1.4,50,13,1014,2011,17
6-Jun,Sunny,30,18,10,2.1,39,7,1015,2012,24
7-Jun,Sunny,30,18,10,2.1,39,7,1015,2012,24
8-Jun,Sunny,27,15,11,0.1,35,11,1013,2013,21
9-Jun,Sunny,30,15,12,0,35,6,1013,2009,22.5
10-Jun,Sunny,32,16,10,0.4,34,5,1013,2010,24
11-Jun,Patchy rain possible,23,9,12,1.7,52,30,1014,2011,16
12-Jun,Sunny,32,18,10,0.1,32,2,1012,2012,25
13-Jun,Sunny,32,18,10,0.1,32,2,1012,2012,25
14-Jun,Sunny,26,14,13,0.6,36,2,1011,2013,20
15-Jun,Sunny,28,14,8,0,39,17,1012,2009,21
16-Jun,Sunny,31,16,12,0.2,28,5,1013,2010,23.5
17-Jun,Sunny,24,11,9,0.4,51,19,1016,2011,17.5
18-Jun,Sunny,32,19,11,1.5,30,5,1010,2012,25.5
19-Jun,Sunny,32,19,11,1.5,30,5,1010,2012,25.5
20-Jun,Sunny,27,14,12,0,26,1,1009,2013,20.5
21-Jun,Patchy light drizzle,18,14,10,2.3,66,38,1011,2009,16
22-Jun,Sunny,34,15,12,0,22,2,1012,2010,24.5
23-Jun,Sunny,25,10,8,0,39,21,1016,2011,17.5
24-Jun,Sunny,30,18,11,0.5,30,15,1009,2012,24
25-Jun,Sunny,30,18,11,0.5,30,15,1009,2012,24
26-Jun,Sunny,29,14,12,0,22,12,1009,2013,21.5
27-Jun,Patchy rain possible,25,13,6,1.3,56,41,1011,2009,19
28-Jun,Sunny,35,17,11,0,19,14,1012,2010,26
29-Jun,Sunny,27,10,9,0,32,1,1016,2011,18.5
30-Jun,Sunny,30,18,11,1.5,36,20,1009,2012,24
1-Jul,Sunny,30,18,11,1.5,36,20,1009,2012,24
2-Jul,Sunny,30,17,12,0,25,22,1009,2013,23.5
3-Jul,partly cloudy,18,13,9,4.4,73,43,1010,2009,15.5
4-Jul,Sunny,36,18,11,0,20,16,1014,2010,27
5-Jul,Sunny,28,11,9,0,32,17,1014,2011,19.5
6-Jul,Sunny,31,19,10,0.5,36,17,1009,2012,25
7-Jul,Sunny,31,19,10,0.5,36,17,1009,2012,25
8-Jul,Sunny,30,17,12,0.4,33,18,1009,2013,23.5
9-Jul,Sunny,24,12,6,0.4,58,22,1015,2009,18
10-Jul,Sunny,34,21,13,0.1,25,12,1010,2010,27.5
11-Jul,Sunny,27,14,7,0,33,29,1015,2011,20.5
12-Jul,Sunny,30,17,11,3.3,45,17,1009,2012,23.5
13-Jul,Sunny,30,17,11,3.3,45,17,1009,2012,23.5
14-Jul,Sunny,32,17,11,0.9,35,18,1010,2013,24.5
15-Jul,Sunny,27,12,10,0,45,8,1014,2009,19.5
16-Jul,Sunny,36,19,9,0,25,7,1005,2010,27.5
17-Jul,Thundery outbreaks possible,27,15,11,10.9,53,41,1017,2011,21
18-Jul,Moderate or heavy rain shower,27,18,11,12.4,59,27,1008,2012,22.5
19-Jul,Moderate or heavy rain shower,27,18,11,12.4,59,27,1008,2012,22.5
20-Jul,Sunny,28,18,8,0.2,37,23,1011,2013,23
21-Jul,Sunny,28,16,9,0.2,46,18,1011,2009,22
22-Jul,Sunny,37,22,11,0.1,24,22,1005,2010,29.5
23-Jul,Sunny,27,13,11,4.4,61,23,1016,2011,20
24-Jul,Thundery outbreaks possible,25,17,8,3.7,57,31,1009,2012,21
25-Jul,Thundery outbreaks possible,25,17,8,3.7,57,31,1009,2012,21
26-Jul,Sunny,30,17,9,0,34,6,1010,2013,23.5
27-Jul,Sunny,32,16,8,0.1,46,11,1011,2009,24
28-Jul,Sunny,34,22,9,0.1,35,9,1007,2010,28
29-Jul,Sunny,28,15,7,0.4,47,12,1013,2011,21.5
30-Jul,Sunny,26,15,9,1.1,46,10,1009,2012,20.5
31-Jul,Sunny,26,15,9,1.1,46,10,1009,2012,20.5
1-Aug,Sunny,31,18,8,0,32,7,1010,2013,24.5
2-Aug,Sunny,29,17,9,0,38,12,1009,2009,23
3-Aug,Sunny,36,19,13,0,24,0,1009,2010,27.5
4-Aug,Sunny,30,15,8,0.2,44,5,1012,2011,22.5
5-Aug,Sunny,27,16,9,3.7,49,27,1009,2012,21.5
6-Aug,Sunny,27,16,9,3.7,49,27,1009,2012,21.5
7-Aug,Sunny,32,18,9,0.1,27,6,1011,2013,25
8-Aug,Sunny,33,19,10,0.1,37,25,1008,2009,26
9-Aug,Sunny,38,18,10,0,18,5,1008,2010,28
10-Aug,Sunny,31,15,8,0,39,4,1011,2011,23
11-Aug,Sunny,23,15,10,5.2,57,21,1013,2012,19
12-Aug,Sunny,23,15,10,5.2,57,21,1013,2012,19
13-Aug,Sunny,31,18,10,0.2,30,9,1010,2013,24.5
14-Aug,partly cloudy,23,17,10,0.9,54,35,1011,2009,20
15-Aug,Sunny,39,20,12,0,17,24,1009,2010,29.5
16-Aug,Sunny,30,18,9,2.7,46,30,1010,2011,24
17-Aug,Sunny,26,14,11,0.2,40,12,1012,2012,20
18-Aug,Sunny,26,14,11,0.2,40,12,1012,2012,20
19-Aug,Sunny,32,19,10,0,29,6,1006,2013,25.5
20-Aug,Sunny,30,15,9,0,37,4,1010,2009,22.5
21-Aug,Sunny,39,23,11,0,20,25,1009,2010,31
22-Aug,Sunny,29,15,7,1.5,56,37,1012,2011,22
23-Aug,Sunny,27,15,8,0.4,47,22,1010,2012,21
24-Aug,Sunny,27,15,8,0.4,47,22,1010,2012,21
25-Aug,Sunny,29,18,12,5.6,43,6,1004,2013,23.5
26-Aug,Sunny,31,15,11,0,29,7,1009,2009,23
27-Aug,Sunny,39,22,10,0,22,15,1006,2010,30.5
28-Aug,Sunny,27,18,8,1.2,49,16,1008,2012,22.5
29-Aug,Sunny,27,18,8,1.2,49,16,1008,2012,22.5
30-Aug,Sunny,30,16,11,0,25,4,1004,2013,23
31-Aug,Sunny,33,16,12,0,27,2,1008,2009,24.5
1-Sep,Sunny,37,23,13,0.5,37,19,1004,2010,30
2-Sep,partly cloudy,25,13,9,2.9,62,30,1011,2011,19
3-Sep,partly cloudy,25,13,9,2.9,62,30,1011,2011,19
4-Sep,Sunny,31,17,11,0.1,25,2,1006,2013,24
5-Sep,Sunny,35,17,11,0,27,17,1008,2009,26
6-Sep,Sunny,37,21,12,1.1,37,5,1003,2010,29
7-Sep,Sunny,28,12,10,1,49,8,1011,2011,20
8-Sep,partly cloudy,27,19,10,0,45,40,1009,2012,23
9-Sep,partly cloudy,27,19,10,0,45,40,1009,2012,23
10-Sep,Sunny,32,18,13,0.3,25,6,1007,2013,25
11-Sep,Sunny,34,21,11,0.4,29,7,1006,2009,27.5
12-Sep,Sunny,37,21,13,0,30,8,1003,2010,29
13-Sep,Sunny,28,14,8,3.3,55,14,1010,2011,21
14-Sep,partly cloudy,26,19,9,2,44,36,1011,2012,22.5
15-Sep,partly cloudy,26,19,9,2,44,36,1011,2012,22.5
16-Sep,Patchy rain possible,29,16,19,4.2,42,29,1007,2013,22.5
17-Sep,Sunny,30,18,11,0.2,36,14,1004,2009,24
18-Sep,Sunny,31,20,11,0,32,13,1006,2010,25.5
19-Sep,Sunny,29,15,7,2.3,55,17,1010,2011,22
20-Sep,Sunny,28,17,10,2,51,7,1012,2012,22.5
21-Sep,Sunny,28,17,10,2,51,7,1012,2012,22.5
22-Sep,Sunny,28,16,12,2.8,43,19,1010,2013,22
23-Sep,Sunny,32,16,10,0,26,1,1008,2009,24
24-Sep,Sunny,32,19,8,0.1,27,13,1010,2010,25.5
25-Sep,Sunny,32,15,6,0,45,2,1009,2011,23.5
26-Sep,Sunny,27,17,9,1.9,47,22,1008,2012,22
27-Sep,Sunny,27,17,9,1.9,47,22,1008,2012,22
28-Sep,Sunny,29,16,11,0.2,40,12,1012,2013,22.5
29-Sep,Sunny,32,15,10,0,19,8,1012,2009,23.5
30-Sep,Sunny,33,17,13,0,24,3,1011,2010,25
1-Oct,Sunny,33,16,8,0,34,0,1008,2011,24.5
2-Oct,partly cloudy,28,17,6,1.4,45,28,1008,2012,22.5
3-Oct,partly cloudy,28,17,6,1.4,45,28,1008,2012,22.5
4-Oct,Sunny,30,18,8,0.1,37,10,1012,2013,24
5-Oct,Sunny,32,16,12,0,18,3,1012,2009,24
6-Oct,Sunny,34,17,10,0,22,1,1009,2010,25.5
7-Oct,Sunny,36,17,8,0,29,0,1007,2011,26.5
8-Oct,Sunny,29,18,7,0.2,38,14,1009,2012,23.5
9-Oct,Sunny,29,18,7,0.2,38,14,1009,2012,23.5
10-Oct,Sunny,31,19,10,0.9,36,11,1012,2013,25
11-Oct,Sunny,34,16,11,0,17,7,1013,2009,25
12-Oct,Sunny,36,19,10,0,21,1,1008,2010,27.5
13-Oct,Sunny,38,18,9,0,26,0,1006,2011,28
14-Oct,Sunny,29,19,7,0.1,38,22,1009,2012,24
15-Oct,Sunny,29,19,7,0.1,38,22,1009,2012,24
16-Oct,Sunny,31,19,11,0.3,32,18,1012,2013,25
17-Oct,Sunny,35,18,9,0,17,25,1012,2009,26.5
18-Oct,Sunny,37,20,11,0,22,13,1011,2010,28.5
19-Oct,Sunny,38,19,8,0,26,0,1007,2011,28.5
20-Oct,Thundery outbreaks possible,27,19,7,4.6,45,33,1012,2012,23
21-Oct,Thundery outbreaks possible,27,19,7,4.6,45,33,1012,2012,23
22-Oct,Sunny,31,21,10,1.4,33,20,1011,2013,26
23-Oct,Sunny,35,21,9,0,24,16,1010,2009,28
24-Oct,Sunny,35,21,10,2.8,42,22,1011,2010,28
25-Oct,Sunny,37,20,9,0,25,0,1007,2011,28.5
26-Oct,Sunny,28,17,9,2.8,45,16,1009,2012,22.5
27-Oct,Sunny,28,17,9,2.8,45,16,1009,2012,22.5
28-Oct,partly cloudy,30,18,13,0.7,40,19,1012,2013,24
29-Oct,Sunny,36,20,10,0,26,8,1009,2009,28
30-Oct,Sunny,35,21,9,1.7,43,17,1010,2010,28
31-Oct,Sunny,36,20,11,1.4,30,3,1005,2011,28
1-Nov,partly cloudy,24,18,8,3,54,34,1006,2012,21
2-Nov,partly cloudy,24,18,8,3,54,34,1006,2012,21
3-Nov,Sunny,30,18,10,0,32,14,1009,2013,24
4-Nov,Sunny,37,21,11,0,22,13,1009,2009,29
5-Nov,Sunny,37,21,10,0,30,5,1009,2010,29
6-Nov,Sunny,33,19,11,0.9,38,9,1005,2011,26
7-Nov,Sunny,26,17,11,1.2,46,22,1006,2012,21.5
8-Nov,Sunny,26,17,11,1.2,46,22,1006,2012,21.5
9-Nov,Sunny,31,19,10,0.3,28,8,1009,2013,25
10-Nov,Sunny,38,20,10,0,19,3,1008,2009,29
11-Nov,Patchy rain possible,28,20,10,1.1,45,19,1011,2010,24
12-Nov,Patchy rain possible,32,18,8,3.8,45,13,1007,2011,25
13-Nov,Sunny,28,15,9,0.7,37,8,1007,2012,21.5
14-Nov,Sunny,28,15,9,0.7,37,8,1007,2012,21.5
15-Nov,Sunny,33,18,13,0.1,25,2,1009,2013,25.5
16-Nov,Sunny,39,22,8,0,18,20,1007,2009,30.5
17-Nov,Sunny,34,19,9,0.5,38,14,1011,2010,26.5
18-Nov,Sunny,35,18,9,0.5,37,3,1007,2011,26.5
19-Nov,Sunny,27,16,11,2.5,41,12,1009,2012,21.5
20-Nov,Sunny,27,16,11,2.5,41,12,1009,2012,21.5
21-Nov,Sunny,31,17,16,1.1,30,4,1007,2013,24
22-Nov,Sunny,39,22,8,0,18,20,1007,2009,30.5
23-Nov,Sunny,34,19,9,0.5,38,14,1011,2010,26.5
24-Nov,Sunny,35,18,9,0.5,37,3,1007,2011,26.5
25-Nov,Sunny,27,16,11,2.5,41,12,1009,2012,21.5
26-Nov,Sunny,31,17,16,1.1,30,4,1007,2013,24
27-Nov,Sunny,38,22,11,0,18,22,1007,2009,30
28-Nov,Sunny,38,22,11,0,18,22,1007,2009,30
29-Nov,Sunny,38,22,11,0,18,22,1007,2009,30
30-Nov,Sunny,38,21,10,0,26,1,1007,2010,29.5
1-Dec,Sunny,37,20,8,0,30,1,1003,2011,28.5
2-Dec,Sunny,29,15,11,0,35,9,1010,2012,22
3-Dec,Sunny,33,18,11,0,20,1,1004,2013,25.5
4-Dec,Sunny,35,24,14,0,23,23,1009,2009,29.5
5-Dec,Sunny,35,24,14,0,23,23,1009,2009,29.5
6-Dec,Sunny,39,21,10,0,22,2,1004,2010,30
7-Dec,Sunny,34,19,11,0,17,20,1001,2013,26.5
8-Dec,Sunny,32,20,10,0.1,29,14,1010,2009,26
9-Dec,Sunny,37,25,13,0.3,29,23,1004,2010,31
10-Dec,Sunny,32,20,10,0.1,29,14,1010,2009,26
11-Dec,Sunny,37,25,13,0.3,29,23,1004,2010,31
12-Dec,Sunny,39,22,9,0.4,27,5,1003,2011,30.5
13-Dec,Sunny,32,19,12,0.1,29,1,1005,2012,25.5
14-Dec,Sunny,33,21,13,0,19,29,1003,2013,27
15-Dec,partly cloudy,26,19,10,0.3,38,27,1012,2009,22.5
16-Dec,partly cloudy,25,20,8,1.9,61,29,1006,2010,22.5
17-Dec,Sunny,34,21,9,2.5,37,12,1006,2011,27.5
18-Dec,Sunny,34,20,10,0.7,32,14,1007,2012,27
19-Dec,Sunny,34,20,16,0.9,28,12,1005,2013,27
20-Dec,Sunny,32,16,9,0,33,9,1012,2009,24
21-Dec,Sunny,32,16,9,0,33,9,1012,2009,24
22-Dec,Sunny,34,19,7,0.1,45,20,1006,2010,26.5
23-Dec,Sunny,32,20,8,1.7,44,13,1008,2011,26
24-Dec,Sunny,30,19,6,5.4,48,13,1008,2012,24.5
25-Dec,Sunny,34,20,12,0.1,25,4,1007,2013,27
26-Dec,Sunny,32,16,9,0,33,9,1012,2009,24
27-Dec,Sunny,32,16,9,0,33,9,1012,2009,24
28-Dec,Sunny,34,19,7,0.1,45,20,1006,2010,26.5
29-Dec,Sunny,32,20,8,1.7,44,13,1008,2011,26
30-Dec,Sunny,30,19,6,5.4,48,13,1008,2012,24.5
31-Dec,Sunny,34,20,12,0.1,25,4,1007,2013,27
1-Jan,Sunny,34,19,9,0,21,10,1007,2009,26.5
2-Jan,partly cloudy,33,21,9,1.4,43,32,1006,2010,27
3-Jan,Sunny,33,17,8,0.3,35,2,1006,2011,25
4-Jan,Sunny,32,22,8,0,38,11,1007,2012,27
5-Jan,Sunny,34,21,14,0.4,26,10,1007,2013,27.5
6-Jan,Sunny,35,20,6,0,23,15,1006,2009,27.5
7-Jan,Sunny,33,19,8,1.3,40,22,1007,2010,26
8-Jan,Sunny,36,19,7,0,25,2,1003,2011,27.5
9-Jan,Sunny,34,21,11,0,30,3,1007,2012,27.5
10-Jan,Sunny,34,19,14,0.8,30,3,1007,2013,26.5
11-Jan,Sunny,35,20,10,0,23,11,1004,2009,27.5
12-Jan,Sunny,36,20,9,0,33,6,1004,2010,28
13-Jan,Sunny,35,21,10,1.3,33,6,1003,2011,28
14-Jan,Sunny,35,22,9,0,25,10,1008,2012,28.5
15-Jan,Sunny,35,21,13,0,22,2,1005,2013,28
16-Jan,Sunny,33,21,11,0.5,28,8,1003,2009,27
17-Jan,Sunny,35,21,10,2,36,11,1005,2010,28
18-Jan,Sunny,36,21,11,1.6,31,2,1003,2011,28.5
19-Jan,Sunny,34,23,10,1.4,33,12,1009,2012,28.5
20-Jan,Sunny,36,23,12,0,18,23,1003,2013,29.5
21-Jan,Sunny,35,17,9,0,22,1,1004,2009,26
22-Jan,Sunny,36,20,10,0,28,3,1005,2010,28
23-Jan,Sunny,35,23,14,0.4,27,7,1003,2011,29
24-Jan,Sunny,34,23,11,0.4,32,7,1007,2012,28.5
25-Jan,partly cloudy,33,24,11,0,24,34,1002,2013,28.5
26-Jan,Sunny,36,17,8,0,17,0,1005,2009,26.5
27-Jan,Sunny,37,21,10,0.2,28,4,1004,2010,29
28-Jan,Sunny,36,22,14,1,27,5,1003,2011,29
29-Jan,Sunny,31,20,13,3.4,38,10,1007,2012,25.5
30-Jan,partly cloudy,30,22,7,0.4,32,26,1007,2013,26
31-Jan,Sunny,39,20,8,0,18,3,1002,2009,29.5
1-Feb,Sunny,36,22,11,0.4,30,9,1005,2010,29
2-Feb,Sunny,35,21,9,0.9,27,2,1006,2011,28
3-Feb,Sunny,32,20,9,0.2,29,8,1007,2012,26
4-Feb,Sunny,32,20,8,0.3,33,12,1006,2013,26
5-Feb,Sunny,39,21,9,0,18,4,1001,2009,30
6-Feb,Sunny,36,20,11,0,26,1,1004,2010,28
7-Feb,Sunny,38,22,11,0,19,0,1005,2011,30
8-Feb,Sunny,38,22,11,0,19,0,1005,2011,30
9-Feb,Sunny,33,20,10,1.9,34,10,1005,2013,26.5
10-Feb,Sunny,39,22,10,0,18,2,1002,2009,30.5
11-Feb,Sunny,38,20,9,0,22,7,1004,2010,29
12-Feb,Sunny,39,23,10,0,17,0,1006,2011,31
13-Feb,Sunny,34,21,12,2.4,30,11,1006,2012,27.5
14-Feb,Sunny,34,21,12,0,28,5,1004,2013,27.5
15-Feb,Sunny,39,22,11,0,17,0,1005,2009,30.5
16-Feb,Sunny,39,23,13,0,20,16,1004,2010,31
17-Feb,Sunny,40,25,10,0,18,0,1008,2011,32.5
18-Feb,Sunny,36,22,12,0,17,0,1001,2013,29
19-Feb,Sunny,39,22,11,0,17,0,1005,2009,30.5
20-Feb,Sunny,39,23,13,0,20,16,1004,2010,31
21-Feb,Sunny,40,25,10,0,18,0,1008,2011,32.5
22-Feb,Sunny,35,21,13,2.1,33,6,1004,2012,28
23-Feb,Sunny,36,22,12,0,17,0,1001,2013,29
24-Feb,Sunny,40,22,10,0,16,0,1006,2009,31
25-Feb,partly cloudy,31,23,16,0.7,40,30,1007,2010,27
26-Feb,Sunny,41,26,10,0,19,0,1007,2011,33.5
27-Feb,Sunny,33,22,12,4.1,35,13,1005,2012,27.5
28-Feb,Sunny,38,23,11,0,13,0,1002,2013,30.5
1-Mar,Sunny,42,23,10,0,14,0,1003,2009,32.5
2-Mar,Sunny,35,22,10,0.2,40,16,1007,2010,28.5
3-Mar,Sunny,39,26,9,0.5,23,1,1003,2011,32.5
4-Mar,Sunny,33,19,12,1.5,31,5,1007,2012,26
5-Mar,Sunny,40,24,13,0,13,0,1002,2013,32
6-Mar,Sunny,42,25,12,0.1,16,10,1004,2009,33.5
7-Mar,Sunny,36,21,13,0,28,5,1006,2010,28.5
8-Mar,Sunny,40,26,11,0,22,0,999,2011,33
9-Mar,Sunny,35,20,10,0,23,2,1007,2012,27.5
10-Mar,Sunny,41,26,14,0.1,12,13,1001,2013,33.5
11-Mar,Sunny,41,25,10,0,19,3,1004,2009,33
12-Mar,Sunny,38,20,12,0,21,0,1004,2010,29
13-Mar,Sunny,39,25,7,0.1,25,1,998,2011,32
14-Mar,Sunny,36,24,11,2.7,34,5,998,2011,30
15-Mar,Sunny,31,22,11,2.9,34,22,1007,2012,26.5
16-Mar,Sunny,40,24,12,0,17,3,1003,2009,32
17-Mar,partly cloudy,42,24,10,0,18,21,1003,2010,33
18-Mar,Sunny,35,23,9,0.5,31,3,1002,2011,29
19-Mar,Sunny,33,20,12,3.2,32,11,1007,2012,26.5
20-Mar,Sunny,42,26,14,0,12,1,1001,2013,34
21-Mar,Sunny,40,23,9,0,17,0,1002,2009,31.5
22-Mar,Sunny,40,25,12,0.2,28,6,1003,2010,32.5
23-Mar,Sunny,37,24,8,0,25,2,1004,2011,30.5
24-Mar,Sunny,35,20,14,0,20,4,1007,2012,27.5
25-Mar,Sunny,42,26,14,0,13,4,1000,2013,34
26-Mar,Sunny,39,22,10,0,15,1,1001,2009,30.5
27-Mar,Sunny,39,22,10,0,15,1,1001,2009,30.5
28-Mar,Sunny,39,22,10,0,15,1,1001,2009,30.5
29-Mar,Sunny,41,25,10,0,16,6,998,2009,33
30-Mar,Sunny,41,27,12,0,24,4,999,2010,34
31-Mar,Sunny,35,26,8,1.1,45,12,998,2012,30.5
1-Apr,Sunny,42,29,10,0,18,1,996,2012,35.5
2-Apr,Sunny,37,26,11,3.2,38,6,998,2013,31.5
3-Apr,Sunny,39,25,8,0.2,24,11,997,2009,32
4-Apr,Sunny,39,25,8,0.2,24,11,997,2009,32
5-Apr,Sunny,40,27,9,0,21,5,1002,2010,33.5
6-Apr,Sunny,34,26,8,1.8,44,15,998,2011,30
7-Apr,Sunny,42,30,10,0,17,0,997,2012,36
